url_name,zh_name,platinum1,platinum2,platinum3,platinum_avg
aeolak_set,风鸣 一套,100,100,110
magus_anomaly,魔导·近点,9,9,10
electro_pulse,电光脉冲,90,100
mantis_fuselage_blueprint,Mantis 机身 蓝图,7,8,8
prisma_lenz,棱晶·楞次弓,98,99,99
prisma_twin_gremlins,棱晶·双子小精灵,85,100,100
nekros_prime_chassis_blueprint,Nekros Prime 机体 蓝图,9,9,9
venka_prime_set,凯旋之爪 Prime 一套,98,100,100
nyx_prime_chassis_blueprint,Nyx Prime 机体 蓝图,9,9,10
wyrm_prime_set,蛟龙 Prime 一套,97,98,99
orthos_prime_set,欧特鲁斯 Prime 一套,8,9,10
arcane_thrak_helmet,震击 秘奥头盔,100,100,150
pathocyst_blade,病囊飞刃 刀刃,49,70
nautilus_prime,鹦鹉螺 Prime 一套,80,88,90
primary_blight,主要·毒侵,9,9,10
prisma_gorgon,棱晶·蛇发女妖,80,80,99
arcane_menticide_helmet,灭神 秘奥头盔,100,100,200
rathbone_handle,拉斯波恩 握柄,8,10,12
red_veil_augment_mod,血色面纱强化Mod,10,10,10
hydroid_prime_set,Hydroid Prime 一套,100,105,109
scattering_inferno,炼狱轰击,7,10,10
prisma_obex,棱晶·奥比克斯,100,100,100
steel_meridian_augment_mod,钢铁防线强化Mod,10,10,10
prisma_veritux,棱晶·真理巨剑,85,95,105
stockpiled_blight,积存毁坏,5,8,10
sevagoth_prime,Sevagoth Prime 一套,85,88,89
sunika_kubrow_imprint,猎杀型库狛 基因印记,8,9,9
fluctus_set,巨浪 一套,30,40,90
synth_fiber,合成 纤维,9,9,10
nekros_prime_set,Nekros Prime 一套,100,100,100
targeting_subsystem,定位辅助,8,9,10
vapor_trail,雾化尾迹,15,30,150
tekko_prime_gauntlet,铁钩手甲 Prime 拳套,8,8,9
nova_prime_set,Nova Prime 一套,95,96,100
tiberon_prime_barrel,狂鲨 Prime 枪管,10,10,10
soma_prime_set,月神 Prime 一套,97,98,99
velocitus_receiver,极速电磁步枪 枪机,9,10,10
nikana_prime_set,侍刃 Prime 一套,94,95,95
cetus_scene,希图斯场景,100,200,200
velocitus_stock,极速电磁步枪 枪托,10,10,15
latron_wraith_set,拉特昂·亡魂 一套,80,125,170
vigilante_offense,私法 进攻,9,9,9
loki_prime_set,Loki Prime 一套,95,99,99
volt_prime_systems_blueprint,Volt Prime 系统 蓝图,17,17,17
zhuge_prime_receiver,诸葛连弩 Prime 枪机,8,8,8
primed_pistol_ammo_mutation,手枪弹药转换 Prime,110,118,120
zodiac_shred,黄道碎裂,4,5,5
searing_steel,炽燃钢铁,40,45,80
aksomati_prime_barrel,轻灵月神双枪 Prime 枪管,9,9,10
suda_armor_set,Suda Armor Set,70,200
arcane_barrier,赋能·壁垒,10,15,15
kronen_prime_set,皇家拐刃 Prime 一套,98,98,99
ballistica_prime_string,布里斯提卡 Prime 弓弦,8,8,10
primed_rifle_ammo_mutation,步枪弹药转换 Prime,99,120,120
battle_stations,战位,9,10,10
spectra_vandal_set,光谱切割器·破坏者 一套,110,140,200
body_count,杀伤计数,8,9,10
nautilus_set,鹦鹉螺 一套,80,90,115
coaction_drift,协力窜升,10,10,10
saryn_prime_set,Saryn Prime 一套,90,90,91
entropy_detonation,熵数起爆,7,8,9
vulkar_wraith,金工火神·亡魂,89,90,90
garmr_core_blueprint,加姆核心 蓝图,9,10,15
prisma_grinlok,棱晶·葛恩火枪,75,80,80
grendel_prime_blueprint,Grendel Prime 蓝图,10,10,10
vectis_prime_set,守望者 Prime 一套,80,80,89
helios_prime_systems,赫利俄斯 Prime 系统,10,10,10
meticulous_aim,细心瞄准,90,90,90
akjagara_prime_set,觉醒双枪 Prime 一套,1,80,85
hydroid_prime_chassis_blueprint,Hydroid Prime 机体 蓝图,7,7,7
glaive_prime_set,战刃 Prime 一套,87,90,90
lohk_canticle,Lohk 颂歌,10,10,10
longbow_sharpshot,弓箭·利矢,9,9,10
photon_overcharge,光子过载,74,75,75
melee_elementalist,近战元素师,9,9,10
glaxion_vandal,冷冻光束步枪·破坏者,74,75,90
mirage_prime_chassis_blueprint,Mirage Prime 机体 蓝图,6,7,7
necramech_seismic_wave,殁世机甲 震波,4,5,9
tekko_prime_set,铁钩手甲 Prime 一套,88,88,89
okina_prime_blueprint,翁 Prime 蓝图,9,10,10
volt_prime_set,Volt Prime 一套,90,90,94
phenmor_blueprint,凤殁 蓝图,8,8,9
bonewidow_set,骨骸寡妇 一套,75,120,120
pilfering_strangledome,贪夺穹顶,9,9,10
gotva_prime,骨葬 Prime,90,93,94
raiju_core_blueprint,莱胡核心 蓝图,8,15,65
ember_prime_set,Ember Prime 一套,84,85,88
ris_invocation,Ris 神祈,8,10,10
scindo_prime_handle,分裂斩斧 Prime 握柄,6,7,9
prova_vandal,普罗沃·破坏者,84,85,89
total_eclipse,全蚀,10,10,11
ash_prime_set,Ash Prime 一套,89,90,95
virtuos_ghost,正直·鬼魅,5,10,40
aksomati_prime_set,轻灵月神双枪 Prime 一套,85,90,94
virtuos_surge,正直·突波,8,8,60
opticor_vandal,奥堤克光子枪·破坏者,79,80,80
cortege_stock,送葬者 枪托,58,125
volt_prime_chassis_blueprint,Volt Prime 机体 蓝图,9,10,10
vulcan_blitz,火神闪击,7,8,9
oberon_prime_set,Oberon Prime 一套,74,80,80
zubb_bracket_blueprint,乍布脚架 蓝图,7,10,15
primed_bane_of_infested,灭亡 Infested Prime,80,90,90
acceltra_prime_barrel,迅发电浆炮 Prime 枪管,8,8,8
primed_expel_corrupted,驱逐 Orokin Prime,100,100,120
akbronco_prime_set,野马双枪 Prime 一套,5,5,6
tainted_hydra,污染水螅,150
ankyros_prime_gauntlet,甲龙双拳 Prime 拳套,9,10,10
critical_precision,致命精准,12,15,20
arcane_precision,赋能·精确,8,8,8
prisma_grakata,棱晶·葛拉卡达,47,48,48
deadly_maneuvers,致命机动,10,10,12
chamber_of_the_lotus_scene,Lotus 大厅场景,99,190,200
despoil,掠夺,9,9,9
hammer_shot,重锤射击,88,93,95
dual_kamas_prime_handle,双短柄战镰 Prime 握柄,8,8,8
nyx_prime_set,Nyx Prime 一套,77,87,89
exposing_harpoon,暴露鱼叉,10,14,15
centaur_set,半人马 一套,50,90,150
fluctus_stock,巨浪 枪托,8,8,9
primed_bane_of_grineer,灭亡 Grineer Prime,80,80,85
gara_prime_chassis_blueprint,Gara Prime 机体 蓝图,9,10,10
primed_expel_grineer,驱逐 Grineer Prime,100,100,100
mecha_empowered,机甲 强化,8,8,10
akbolto_prime_set,螺钉双枪 Prime 一套,80,85,85
medi_ray,医疗射线,10,14,15
carmine_penta_set,嫣红·潘塔 一套,70,100,135
natural_talent,天赋,8,9,10
halikar_wraith,哈利卡·亡魂,75,80,90
necramech_hydraulics,殁世机甲 液压,6,8,8
mirage_prime_set,Mirage Prime 一套,80,80,82
netra_invocation,Netra 神祈,10,10,15
ambush,幽灵伏击,60,70,88
nyx_prime_systems_blueprint,Nyx Prime 系统 蓝图,10,10,10
primed_cryo_rounds,低温弹头 Prime,25,25,28
phaedra_barrel,菲德菈 枪管,9,10,40
kogake_prime_set,科加基 Prime 一套,84,89,90
quick_reload,快速装填,10,11,12
nidus_prime_set,Nidus Prime 一套,80,84,85
rubico_prime_stock,绝路 Prime 枪托,7,7,8
akvasto_prime_set,瓦斯托双枪 Prime 一套,79,80,80
scimitar_fuselage_blueprint,Scimitar 机身 蓝图,7,8,10
shade_prime_carapace,阴影 Prime 外壳,9,10,12
carrier_prime_set,搬运者 Prime 一套,73,74,75
sudas_datascape_scene,苏达数据景观场景,60,70,99
shedu_handle,舍杜 握柄,8,8,9
iatric_mycelium,医疗菌丝,14,200
shedu_receiver,舍杜 枪机,8,8,9
hexis_armor_set,Hexis Armor Set,45,58,200
shredder,粉碎器,5,10,10
saxum_spittle,重岩者 唾液,110,120,130
tigris_prime_receiver,猛虎 Prime 枪机,8,9,10
acidic_spittle,浓酸唾液,12,14,200
plains_of_eidolon_scene,夜灵平野场景,90,100,100
titania_prime_chassis_blueprint,Titania Prime 机体 蓝图,8,8,9
prisma_angstrum,棱晶·安格斯壮,80,99,99
untraceable,无迹可寻,8,9,9
prisma_machete,棱晶·马谢特砍刀,26,39,39
venom_dose,猛毒附加,9,9,10
wukong_prime_set,Wukong Prime 一套,88,88,90
akstiletto_prime_link,史提托双枪 Prime 连接器,9,10,10
prisma_burst_laser,棱晶 激光点发,200
baruuk_prime_blueprint,Baruuk Prime 蓝图,10,10,10
athodai_set,阿索代 一套,70,75,80
limbo_prime_set,Limbo Prime 一套,74,77,78
condition_overload,异况超量,8,8,8
destreza_prime_handle,技巧之剑 Prime 握柄,4,4,4
titania_prime_set,Titania Prime 一套,75,78,79
enduring_strike,不朽打击,6,10,10
primed_cleanse_infested,净化 Infested Prime,49,50,60
entropy_flight,飞逝熵数,10,10,10
zephyr_prime_set,Zephyr Prime 一套,74,85,85
fang_prime_set,狼牙 Prime 一套,6,7,7
boar_prime_stock,野猪 Prime 枪托,75,75,80
frost_jaw,冰冻双颚,10,10,10
combo_killer,连击杀手,55,55,90
gunsen_prime_blade,军扇 Prime 刀刃,6,9,10
dera_vandal_set,德拉·破坏者 一套,70,70,80
hunter_munitions,猎人 战备,8,8,9
epitaph_prime,葬铭 Prime 一套,68,68,70
loki_prime_blueprint,Loki Prime 蓝图,7,7,10
prisma_skana,棱晶·空刃,5,70,70
nyx_prime_blueprint,Nyx Prime 蓝图,5,7,8
quanta_vandal,量子切割器·破坏者,80,90,90
opportunitys_reach,机遇所至,8,9,10
primed_sniper_ammo_mutation,狙击枪弹药转换 Prime,70,80,80
praedos_blueprint,双雄 蓝图,11,12,12
ready_steel,磨砺锋刃,9,9,9
companion_weapon_riven_mod_(veiled),同伴武器裂罅 Mod (尚未揭开),59,59,59
prisma_shade,棱晶 阴影,120,200
rubico_prime_barrel,绝路 Prime 枪管,8,8,9
aklex_prime_set,雷克斯双枪 Prime 一套,79,80,80
seeking_shuriken,削甲手里剑,7,8,9
